fid,id sistema,id ruta,nombre,nombre completo,grupo,modalidad,subsistema,tipo unidad,longitud,zona
"2481","213","148",73Z,73 Tierra Propia - Zertuche,Ctm Gpe,Radial,OTE,Panoramica,44.2,Limite Municipal
"2482","223","163","77",77 Zaragoza,Ctm Gpe,Radial,OTE,Panoramica,36.27,Limite Municipal
"2483","232","203",15ER,15 Estancia Reforma - Obispado,Martinez Garcia,Radial,,,0,Limite Municipal
"2484","233","204",15CB,15 Casa Blanca - Centro,Martinez Garcia,Radial,,,0,Limite Municipal
"2485","238","243",71T,71 Tres Caminos,Ctm Gpe,Radial,OTE,Panoramica,37.56,Limite Municipal
"2486","214","150",117A,117 Mercado De Abastos,Ctm Feat,Radial,NO,Panoramica,32.46,Limite Municipal
"2487","222","162",70C,70 Centro,Martinez Garza,Radial,OTE,Panoramica,27.06,Limite Municipal
"2488","223","163","77",77 Zaragoza,Ctm Gpe,Radial,OTE,Panoramica,36.27,Limite Municipal
"2489","227","185",55TG,55 Topo Grande,Ctm Snat,Radial,ZN,Panoramica,40.38,Limite Municipal
"2490","228","186",55J,55  Joyas - Ayala,Ctm Feat,Radial,ZN,Panoramica,40.24,Limite Municipal
"2491","234","232","50",50 Mas Palomas,Ctm Feat,Radial,SUR,Panoramica,18.79,Limite Municipal
"2492","238","243",71T,71 Tres Caminos,Ctm Gpe,Radial,OTE,Panoramica,37.56,Limite Municipal
"2493","0","13",38LAL,38 Libramiento,Transregio,Alimentadora,LRC,Panoramica,29,Limite Municipal
"2494","1","14",107A,107 Garcia - Valle Verde,Ctm Gpe,Alimentadora,LRC,Panoramica,31.62,Limite Municipal
"2495","4","17",38AA,38 Alianza,Transregio,Alimentadora,LRC,Panoramica,18.6,Limite Municipal
"2496","10","48",38F,38 Fomerrey,Ctm Feat,Alimentadora,LRC,Panoramica,13.84,Limite Municipal
"2497","11","49",35S,38 Solidaridad,Ctm Feat,Alimentadora,LRC,Panoramica,13.06,Limite Municipal
"2498","2","15",310AN,310 Sta Martha - Hipermart Norte,Ctm Feat,Alimentadora,LRC,Midibus Panoramico,21,Limite Municipal
"2499","184","50",207A,207 Penitenciaria,Martinez Garcia,Periferica,ZN,Panoramica,41.54,Limite Municipal
"2500","185","51",207B,207 Escobedo,Martinez Garcia,Periferica,ZN,Panoramica,39.9,Limite Municipal
"2501","186","88","208",208 Escobeddo San Rafael,Transregio,Periferica,ZN,Panoramica,68.53,Limite Municipal
"2502","187","89","204",204 San Bernabe - San Pedro,Ctm - Snat,Periferica,NP,Panoramica,62.4,Limite Municipal
